Rate,Rate_Name,Bandwidth,Delay,TCP-AAD_Avg_Mbps,Default_Avg_Mbps,Improvement_%
34,HT20-SGI-MCS4,20,10,19.84034382583712,19.922089654730833,-0.41032758265045055
34,HT20-SGI-MCS4,20,50,19.595205578095054,19.700978659593837,-0.5368925235969101
34,HT20-SGI-MCS4,20,100,14.42264137893137,19.571986563415997,-26.30977273461752
34,HT20-SGI-MCS4,20,nodelay,16.62444760051979,19.374443971206667,-14.19393699645669
34,HT20-SGI-MCS4,50,10,36.18478438849346,32.29526215876536,12.043631076926971
34,HT20-SGI-MCS4,50,50,17.88249442224551,32.318176358424374,-44.667377812659026
34,HT20-SGI-MCS4,50,100,15.84367349660096,32.28318313867224,-50.92282744070018
34,HT20-SGI-MCS4,50,nodelay,38.92259526591947,32.62136170375889,19.316279986664377
34,HT20-SGI-MCS4,100,10,45.58554237969245,32.92397561392415,38.45698014796698
34,HT20-SGI-MCS4,100,50,19.012155966602624,32.55079407353849,-41.592343573399425
34,HT20-SGI-MCS4,100,100,11.451896217561487,29.65054352643744,-61.37711200015411
34,HT20-SGI-MCS4,100,nodelay,60.02086325765496,33.331676582629356,80.0715397824739
34,HT20-SGI-MCS4,nolim,10,48.00899748611572,31.491098558753823,52.452596712509056
34,HT20-SGI-MCS4,nolim,50,17.870161087248636,31.758766911378395,-43.73156509157101
34,HT20-SGI-MCS4,nolim,100,12.582122443207778,27.751531859607987,-54.66152100410391
34,HT20-SGI-MCS4,nolim,nodelay,60.28781177316282,32.66747178709324,84.54997731713736
35,HT20-SGI-MCS5,20,10,16.368113931103096,19.852251032055058,-17.550337719013278
35,HT20-SGI-MCS5,20,50,14.457468424627491,18.780538363077792,-23.018881859901207
35,HT20-SGI-MCS5,20,100,12.220400524387053,19.63054049410649,-37.748018053522884
35,HT20-SGI-MCS5,20,nodelay,16.624649721028387,18.90875273227338,-12.079606960783282
35,HT20-SGI-MCS5,50,10,35.63683004757775,44.597708679792454,-20.092688385748705
35,HT20-SGI-MCS5,50,50,19.513797698058394,43.572798331666796,-55.215642682566425
35,HT20-SGI-MCS5,50,100,11.88315314918009,36.721914110161926,-67.64015864333253
35,HT20-SGI-MCS5,50,nodelay,38.87689538120112,44.71427148722865,-13.054838895664009
35,HT20-SGI-MCS5,100,10,44.00100818530318,43.18848226432204,1.8813486336665373
35,HT20-SGI-MCS5,100,50,17.485614565142374,44.3414095265106,-60.5659478310265
35,HT20-SGI-MCS5,100,100,17.859051753655695,40.811143819669205,-56.2397666858619
35,HT20-SGI-MCS5,100,nodelay,55.68752544616025,43.29322960026083,28.62871622269721
35,HT20-SGI-MCS5,nolim,10,46.120509339003284,44.36428956554171,3.95863382612499
35,HT20-SGI-MCS5,nolim,50,17.473944483722406,39.02902942093532,-55.22833966670636
35,HT20-SGI-MCS5,nolim,100,13.33945305082842,41.00939573544775,-67.47220286570074
35,HT20-SGI-MCS5,nolim,nodelay,56.327307304908494,44.50515955823811,26.56354423625934
36,HT20-SGI-MCS6,20,10,16.787831577946985,19.339778863546137,-13.195328155532113
36,HT20-SGI-MCS6,20,50,12.733114740874067,19.74716118272356,-35.51926465251095
36,HT20-SGI-MCS6,20,100,11.253657511712186,18.920568351468567,-40.521567308845114
36,HT20-SGI-MCS6,20,nodelay,16.158449948209206,19.327978267966746,-16.398654198667856
36,HT20-SGI-MCS6,50,10,29.986782115758206,48.31426769875647,-37.93389914811848
36,HT20-SGI-MCS6,50,50,14.888421989466712,42.99030642373722,-65.36795564395878
36,HT20-SGI-MCS6,50,100,38.55053290951384,47.02114561109514,-18.014475384416347
36,HT20-SGI-MCS6,50,nodelay,45.3658511780764,47.00934196781481,-3.496094012257477
36,HT20-SGI-MCS6,100,10,47.45107597027318,49.44403683746866,-4.03074060021979
36,HT20-SGI-MCS6,100,50,44.89855658946176,48.861980799933576,-8.111468560188214
