bandwidth,delay_ms,rate_index,iterations,avg_throughput_mbps,std_throughput_mbps,min_throughput_mbps,max_throughput_mbps,avg_retransmits,total_retransmits,packet_loss_pct
10,10,34,3,9.54,0.0,9.53,9.54,0.0,0,0
10,10,35,3,9.48,0.09,9.36,9.56,0.0,0,0
10,10,36,3,9.54,0.01,9.53,9.55,0.0,0,0
10,10,37,3,9.55,0.0,9.55,9.55,0.0,0,0
10,10,44,3,9.55,0.01,9.53,9.56,0.0,0,0
10,10,45,3,9.55,0.01,9.54,9.56,0.0,0,0
10,10,46,3,9.39,0.21,9.09,9.56,5.3,16,0
10,10,47,3,9.54,0.01,9.53,9.55,0.0,0,0
10,10,94,3,9.54,0.01,9.53,9.55,0.0,0,0
10,10,95,3,9.42,0.2,9.14,9.56,125.7,377,0
10,10,96,3,9.55,0.01,9.53,9.56,0.0,0,0
10,10,97,3,9.43,0.16,9.2,9.55,289.0,867,0
10,10,104,3,9.54,0.01,9.53,9.55,0.0,0,0
10,10,105,3,9.43,0.16,9.2,9.55,277.0,831,0
10,10,106,3,9.54,0.01,9.53,9.55,0.0,0,0
10,10,107,3,9.55,0.01,9.54,9.56,0.0,0,0
10,50,34,3,9.32,0.27,8.93,9.51,30.7,92,0
10,50,35,3,9.51,0.0,9.51,9.51,0.0,0,0
10,50,36,3,9.4,0.17,9.15,9.52,275.3,826,0
10,50,37,3,9.51,0.01,9.5,9.52,0.0,0,0
10,50,44,3,9.41,0.16,9.19,9.52,285.0,855,0
10,50,45,3,9.52,0.0,9.51,9.52,0.0,0,0
10,50,46,3,9.5,0.0,9.5,9.5,0.0,0,0
10,50,47,3,9.39,0.17,9.15,9.52,288.3,865,0
10,50,94,3,9.51,0.01,9.5,9.52,0.0,0,0
10,50,95,3,9.35,0.22,9.05,9.51,197.3,592,0
10,50,96,3,9.51,0.01,9.51,9.52,0.0,0,0
10,50,97,3,9.31,0.29,8.9,9.52,115.3,346,0
10,50,104,3,9.51,0.01,9.51,9.52,0.0,0,0
10,50,105,3,9.51,0.01,9.5,9.53,0.0,0,0
10,50,106,3,9.45,0.08,9.34,9.52,2.0,6,0
10,50,107,3,9.51,0.0,9.51,9.52,0.0,0,0
10,100,34,3,9.44,0.0,9.44,9.44,0.0,0,0
10,100,35,3,9.44,0.0,9.43,9.44,0.0,0,0
10,100,36,3,9.3,0.23,8.97,9.46,253.3,760,0
10,100,37,3,9.45,0.01,9.44,9.46,0.0,0,0
10,100,44,3,9.44,0.01,9.43,9.46,0.0,0,0
10,100,45,3,9.45,0.01,9.43,9.46,0.0,0,0
10,100,46,3,9.3,0.19,9.04,9.43,286.0,858,0
10,100,47,3,9.44,0.0,9.43,9.44,0.0,0,0
10,100,94,3,9.44,0.0,9.43,9.44,0.0,0,0
10,100,95,3,9.45,0.01,9.44,9.46,0.0,0,0
10,100,96,3,9.45,0.01,9.44,9.46,0.0,0,0
10,100,97,3,9.29,0.2,9.01,9.44,268.7,806,0
10,100,104,3,9.43,0.0,9.43,9.44,0.0,0,0
10,100,105,3,9.45,0.01,9.44,9.46,0.0,0,0
10,100,106,3,9.45,0.01,9.43,9.45,0.0,0,0
10,100,107,3,9.28,0.24,8.94,9.46,239.0,717,0
20,10,34,3,19.1,0.01,19.09,19.11,0.0,0,0
20,10,35,3,18.71,0.55,17.93,19.11,918.3,2755,0
20,10,36,3,19.09,0.01,19.09,19.11,0.0,0,0
20,10,37,3,19.11,0.0,19.11,19.11,0.0,0,0
20,10,44,3,19.09,0.01,19.09,19.1,0.0,0,0
20,10,45,3,19.1,0.01,19.08,19.11,0.0,0,0
20,10,46,3,18.67,0.59,17.84,19.09,439.7,1319,0
20,10,47,3,19.1,0.01,19.09,19.12,0.0,0,0
20,10,94,3,19.08,0.01,19.07,19.09,0.0,0,0
20,10,95,3,18.72,0.54,17.96,19.12,987.3,2962,0
20,10,96,3,19.09,0.0,19.09,19.1,0.0,0,0
20,10,97,3,18.99,0.16,18.77,19.11,3.7,11,0
20,10,104,3,19.09,0.0,19.09,19.09,0.0,0,0
20,10,105,3,19.1,0.01,19.08,19.11,0.0,0,0
20,10,106,3,18.68,0.6,17.84,19.11,490.0,1470,0
20,10,107,3,19.1,0.01,19.09,19.11,0.0,0,0
20,50,34,3,18.51,0.69,17.54,19.0,871.3,2614,0
20,50,35,3,18.99,0.03,18.95,19.01,0.0,0,0
20,50,36,3,18.54,0.67,17.6,19.01,888.7,2666,0
20,50,37,3,19.02,0.0,19.02,19.02,0.0,0,0
20,50,44,3,19.01,0.01,18.99,19.02,0.0,0,0
20,50,45,3,18.5,0.71,17.5,19.01,874.7,2624,0
20,50,46,3,19.01,0.01,19.0,19.03,0.0,0,0
20,50,47,3,18.65,0.52,17.91,19.02,698.7,2096,0
20,50,94,3,19.02,0.0,19.01,19.02,0.0,0,0
20,50,95,3,18.73,0.4,18.17,19.02,281.0,843,0
20,50,96,3,19.01,0.01,18.99,19.02,0.0,0,0
20,50,97,3,19.02,0.0,19.02,19.02,0.0,0,0
20,50,104,3,18.72,0.41,18.14,19.02,145.0,435,0
20,50,105,3,19.02,0.02,19.01,19.05,6.3,19,0
20,50,106,3,19.01,0.01,19.0,19.01,0.0,0,0
20,50,107,3,19.01,0.02,18.99,19.04,0.0,0,0
20,100,34,3,18.32,0.73,17.29,18.84,792.3,2377,0
20,100,35,3,18.86,0.0,18.85,18.86,0.0,0,0
20,100,36,3,18.85,0.0,18.85,18.85,0.0,0,0
20,100,37,3,18.24,0.85,17.04,18.85,653.0,1959,0
20,100,44,3,18.84,0.0,18.84,18.84,0.0,0,0
20,100,45,3,18.84,0.0,18.84,18.84,0.0,0,0
20,100,46,3,18.84,0.0,18.84,18.84,0.0,0,0
